Set of ThermodynamicInformation structures: 41
BensonThermodynamicBase(R46C4H9O4UP):        H298:-0.006451038467858182        S298:-0.018070703677688076        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.024901319633428266, 300.0]        [-0.03061287760133116, 400.0]        [-0.029071841248569843, 500.0]        [-0.027127095808099445, 600.0]        [-0.029622174477854632, 800.0]        [-0.03334429471932477, 1000.0]        [-0.027935892386401547, 1500.0]
BensonThermodynamicBase(R11C2H5):        H298:-0.0046369186147359265        S298:0.03383019201863045        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.021564886498859345, 300.0]        [-0.021733936217056896, 400.0]        [-0.01228796845412886, 500.0]        [6.815696800604355E-4, 600.0]        [0.028477914946609114, 800.0]        [0.056508702055756616, 1000.0]        [0.12525979196081213, 1500.0]
BensonThermodynamicBase(R26C4H9):        H298:-0.003735889807041061        S298:-0.013731451028049466        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [0.008988969668631393, 300.0]        [0.002669392011344471, 400.0]        [0.005600196496954564, 500.0]        [0.011977272709287737, 600.0]        [0.027788150701395828, 800.0]        [0.0473073141604049, 1000.0]        [0.10342334404759564, 1500.0]
BensonThermodynamicBase(R33C4H9O2P):        H298:-0.0028446995466095437        S298:0.002805925702850239        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.007173323999456066, 300.0]        [-0.021018877905601845, 400.0]        [-0.025993339351279787, 500.0]        [-0.028567352909986545, 600.0]        [-0.03415486481329788, 800.0]        [-0.03788026788228886, 1000.0]        [-0.0336452352557614, 1500.0]
BensonThermodynamicBase(R32C4H9O2P):        H298:-0.0028407277267613975        S298:0.0028025082746178003        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.005498149463220177, 300.0]        [-0.018280082398700055, 400.0]        [-0.023867454783857302, 500.0]        [-0.027445043246834586, 600.0]        [-0.03447920490380071, 800.0]        [-0.03870924036921905, 1000.0]        [-0.03511783669714236, 1500.0]
BensonThermodynamicBase(R31C3H7O2P):        H298:-0.0025480877164971616        S298:0.015131369263121702        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.0010668632920031492, 300.0]        [-0.009416697601524245, 400.0]        [-0.012668442988579652, 500.0]        [-0.015042971871899851, 600.0]        [-0.021819949615281237, 800.0]        [-0.02750417546836827, 1000.0]        [-0.03084997188629488, 1500.0]
BensonThermodynamicBase(R18CH3COOO):        H298:0.001264574139631131        S298:-0.050690388583416075        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.05941035491410807, 300.0]        [-0.06422318931076908, 400.0]        [-0.06389177803366002, 500.0]        [-0.06439239993986623, 600.0]        [-0.07309885912448393, 800.0]        [-0.08327710476628004, 1000.0]        [-0.06215405402544628, 1500.0]
BensonThermodynamicBase(R27C3H7O2U):        H298:-8.533906154307932E-4        S298:-0.04641102488601658        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.04677349811813622, 300.0]        [-0.05397469140826143, 400.0]        [-0.05767406713417439, 500.0]        [-0.062195850326419035, 600.0]        [-0.07719393487398232, 800.0]        [-0.09291803362848837, 1000.0]        [-0.11324845589479723, 1500.0]
BensonThermodynamicBase(R28C4H9O2U):        H298:-7.202018337118008E-4        S298:-0.04201163215744522        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.04136122547366433, 300.0]        [-0.04931070070001904, 400.0]        [-0.05300423639977425, 500.0]        [-0.05732004683488309, 600.0]        [-0.07186232021429582, 800.0]        [-0.08712562479930479, 1000.0]        [-0.10343130231717414, 1500.0]
BensonThermodynamicBase(R40C4H9O4UP):        H298:2.8302051598642404E-4        S298:-0.01806580981240901        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.0248839190820102, 300.0]        [-0.030637632881586378, 400.0]        [-0.029081437313700782, 500.0]        [-0.02711694133917695, 600.0]        [-0.029617148543230346, 800.0]        [-0.03338067119315825, 1000.0]        [-0.02789518653908693, 1500.0]
BensonThermodynamicBase(R44C4H9O4UP):        H298:2.82981304729221E-4        S298:-0.024301325822353566        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.02487500296780813, 300.0]        [-0.03064920446756357, 400.0]        [-0.029087491539076138, 500.0]        [-0.02711413836937283, 600.0]        [-0.02961338897080814, 800.0]        [-0.03338067119315825, 1000.0]        [-0.02789518653908693, 1500.0]
BensonThermodynamicBase(R47C4H9O4UP):        H298:2.4042274471712625E-4        S298:-0.02305453219544126        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.026817071264668566, 300.0]        [-0.03313015302990301, 400.0]        [-0.030430450036000325, 500.0]        [-0.027144312439663823, 600.0]        [-0.028296039080913406, 800.0]        [-0.035370653116759444, 1000.0]        [-0.026769188637542532, 1500.0]
BensonThermodynamicBase(R39C3H7O4UP):        H298:-1.8127892502015915E-4        S298:-0.012103693671617032        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.029000571850674586, 300.0]        [-0.034173162378758996, 400.0]        [-0.03373482582349279, 500.0]        [-0.03296505343279806, 600.0]        [-0.03656590226477236, 800.0]        [-0.04177600279302917, 1000.0]        [-0.04686458254747821, 1500.0]
BensonThermodynamicBase(R42C4H9O4UP):        H298:-2.2629764148761482E-4        S298:-0.022610176794164744        Reference:'null'        [300.0, 0.0]        [400.0, 0.0]        [500.0, 0.0]        [600.0, 0.0]        [800.0, 0.0]        [1000.0, 0.0]        [1500.0, 0.0]        [-0.02474394069431548, 300.0]        [-0.029521502306711682, 400.0]        [-0.028530878800189435, 500.0]        [-0.027240953654027737, 600.0]        [-0.02990318163207268, 800.0]        [-0.03410077082464898, 1000.0]        [-0.03438252176069678, 1500.0]
